item_code,quantity,avg_price,date,min_temp,max_temp,log_quantity,month,sma4,time_idx,group_ids
70165,358.0,9.406667,2021-02-01,44.0,82.0,5.880533,2,511.75,38,2
70208,317.0,14.337692,2021-02-01,44.0,82.0,5.7589016,2,408.0,38,4
70270,670.0,3.45,2021-02-01,44.0,82.0,6.5072775,2,611.5,38,0
70271,345.0,11.79,2021-02-01,44.0,82.0,5.8435445,2,321.5,38,5
20209,766.0,7.160161,2021-03-01,39.0,89.0,6.641182,3,510.0,39,1
50215,444.0,10.322308,2021-03-01,39.0,89.0,6.0958247,3,377.0,39,3
70165,275.0,9.337826,2021-03-01,39.0,89.0,5.616771,3,459.25,39,2
70208,555.0,10.9225,2021-03-01,39.0,89.0,6.3189683,3,458.75,39,4
70270,1296.0,3.5555556,2021-03-01,39.0,89.0,7.167038,3,797.5,39,0
70271,438.0,11.22275,2021-03-01,39.0,89.0,6.082219,3,360.0,39,5
